feature_set,feature,family,is_forbidden
F4,nuCpos_Affinity_147_yeast_pam_proximal_mean,computed_nucleosome_aggregates,False
F4,nuCpos_Affinity_147_yeast_missing,computed_nucleosome_missingness,False
F4,VanDerHeijden_mean,computed_nucleosome_aggregates,False
F4,VanDerHeijden_std,computed_nucleosome_aggregates,False
F4,VanDerHeijden_min,computed_nucleosome_aggregates,False
F4,VanDerHeijden_max,computed_nucleosome_aggregates,False
F4,VanDerHeijden_center,computed_nucleosome_aggregates,False
F4,VanDerHeijden_pam_proximal_mean,computed_nucleosome_aggregates,False
F4,VanDerHeijden_missing,computed_nucleosome_missingness,False
F4,LeNupH3Q85C_mean,computed_nucleosome_aggregates,False
F4,LeNupH3Q85C_std,computed_nucleosome_aggregates,False
F4,LeNupH3Q85C_min,computed_nucleosome_aggregates,False
F4,LeNupH3Q85C_max,computed_nucleosome_aggregates,False
F4,LeNupH3Q85C_center,computed_nucleosome_aggregates,False
F4,LeNupH3Q85C_pam_proximal_mean,computed_nucleosome_aggregates,False
F4,LeNupH3Q85C_missing,computed_nucleosome_missingness,False
