input_representation,feature_set,source_column,is_forbidden,max_length,channels,policy,input_branch,tabular_feature_set,tabular_preprocessor_fit_scope,family
S1_sequence_pair+F4,F4,energy_3,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,binding_energy
S1_sequence_pair+F4,F4,energy_4,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,binding_energy
S1_sequence_pair+F4,F4,energy_5,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,binding_energy
S1_sequence_pair+F4,F4,epigen_ctcf,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,experimental_epigenetic
S1_sequence_pair+F4,F4,epigen_dnase,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,experimental_epigenetic
S1_sequence_pair+F4,F4,epigen_rrbs,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,experimental_epigenetic
S1_sequence_pair+F4,F4,epigen_h3k4me3,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,experimental_epigenetic
S1_sequence_pair+F4,F4,epigen_drip,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,experimental_epigenetic
S1_sequence_pair+F4,F4,MNase,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,experimental_epigenetic
S1_sequence_pair+F4,F4,GCContent_mean,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,GCContent_std,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,GCContent_min,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,GCContent_max,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,GCContent_center,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,GCContent_pam_proximal_mean,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,GCContent_missing,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_missingness
S1_sequence_pair+F4,F4,WSScore_mean,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,WSScore_std,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,WSScore_min,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,WSScore_max,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,WSScore_center,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,WSScore_pam_proximal_mean,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,WSScore_missing,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_missingness
S1_sequence_pair+F4,F4,YRScore_mean,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,YRScore_std,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,YRScore_min,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,YRScore_max,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,YRScore_center,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,YRScore_pam_proximal_mean,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,YRScore_missing,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_missingness
S1_sequence_pair+F4,F4,NucleotideBDM_mean,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,NucleotideBDM_std,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,NucleotideBDM_min,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,NucleotideBDM_max,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,NucleotideBDM_center,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,NucleotideBDM_pam_proximal_mean,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,NucleotideBDM_missing,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_missingness
S1_sequence_pair+F4,F4,StrongWeakBDM_mean,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,StrongWeakBDM_std,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,StrongWeakBDM_min,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,StrongWeakBDM_max,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,StrongWeakBDM_center,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,StrongWeakBDM_pam_proximal_mean,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,StrongWeakBDM_missing,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_missingness
S1_sequence_pair+F4,F4,NuPoP_Occup_147_human_mean,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,NuPoP_Occup_147_human_std,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,NuPoP_Occup_147_human_min,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,NuPoP_Occup_147_human_max,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,NuPoP_Occup_147_human_center,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,NuPoP_Occup_147_human_pam_proximal_mean,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,NuPoP_Occup_147_human_missing,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_missingness
S1_sequence_pair+F4,F4,NuPoP_Viterbi_147_human_mean,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,NuPoP_Viterbi_147_human_std,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,NuPoP_Viterbi_147_human_min,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,NuPoP_Viterbi_147_human_max,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,NuPoP_Viterbi_147_human_center,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,NuPoP_Viterbi_147_human_pam_proximal_mean,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,NuPoP_Viterbi_147_human_missing,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_missingness
S1_sequence_pair+F4,F4,NuPoP_Affinity_147_human_mean,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,NuPoP_Affinity_147_human_std,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,NuPoP_Affinity_147_human_min,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,NuPoP_Affinity_147_human_max,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
S1_sequence_pair+F4,F4,NuPoP_Affinity_147_human_center,False,23,,train-only preprocessed tabular F4 late-fusion branch,tabular,F4,train_only,computed_nucleosome_aggregates
