run_id,loss,loss_params,sampling,role,test_auprc,test_mcc,test_specificity,split,genome,rows,positive_rate,auprc,auroc,specificity,tnr,mcc,tn,fp,fn,tp
sprint6_loss_comparison_seed42_20260606_182812_S6R5_dice,generalized_dice,"{""class_weights"": ""inverse_volume"", ""epsilon"": 1.0}",null,generalized_dice_sudre2017,0.8711738760752983,0.0,0.0,test,hg38,176,0.5454545454545454,0.6382397069796857,0.556640625,0.0,0.0,0.0,0,80,0,96
sprint6_loss_comparison_seed42_20260606_182812_S6R5_dice,generalized_dice,"{""class_weights"": ""inverse_volume"", ""epsilon"": 1.0}",null,generalized_dice_sudre2017,0.8711738760752983,0.0,0.0,test,mm10,80,0.075,0.12493538065632757,0.668918918918919,0.0,0.0,0.0,0,74,0,6
sprint6_loss_comparison_seed42_20260606_182812_S6R5_dice,generalized_dice,"{""class_weights"": ""inverse_volume"", ""epsilon"": 1.0}",null,generalized_dice_sudre2017,0.8711738760752983,0.0,0.0,val,hg19,1368,0.9890350877192983,0.9958741450335498,0.7360926336536092,0.0,0.0,0.0,0,15,0,1353
sprint6_loss_comparison_seed42_20260606_182812_S6R5_dice,generalized_dice,"{""class_weights"": ""inverse_volume"", ""epsilon"": 1.0}",null,generalized_dice_sudre2017,0.8711738760752983,0.0,0.0,val,hg38,333,0.46546546546546547,0.49367990849257176,0.47905038057267124,0.0,0.0,0.0,0,178,0,155
sprint6_loss_comparison_seed42_20260606_182812_S6R5_dice,generalized_dice,"{""class_weights"": ""inverse_volume"", ""epsilon"": 1.0}",null,generalized_dice_sudre2017,0.8711738760752983,0.0,0.0,val,mm10,22,0.045454545454545456,0.1111111111111111,0.6190476190476191,0.0,0.0,0.0,0,21,0,1
sprint6_loss_comparison_seed42_20260606_182812_S6R5_dice,generalized_dice,"{""class_weights"": ""inverse_volume"", ""epsilon"": 1.0}",null,generalized_dice_sudre2017,0.8711738760752983,0.0,0.0,val,rn5,11,0.18181818181818182,0.75,0.8888888888888888,0.0,0.0,0.0,0,9,0,2
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,tversky,"{""alpha"": 0.7, ""beta"": 0.3, ""epsilon"": 1.0}",null,tversky_specificity_oriented_inverted_salehi2017,0.9558036561873858,0.2629779003203708,0.08284023668639054,test,hg19,1446,0.9896265560165975,0.988004769470386,0.5467971115769857,0.0,0.0,0.0,0,15,0,1431
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,tversky,"{""alpha"": 0.7, ""beta"": 0.3, ""epsilon"": 1.0}",null,tversky_specificity_oriented_inverted_salehi2017,0.9558036561873858,0.2629779003203708,0.08284023668639054,test,hg38,176,0.5454545454545454,0.6662796739063506,0.5680989583333333,0.0,0.0,0.0,0,80,0,96
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,tversky,"{""alpha"": 0.7, ""beta"": 0.3, ""epsilon"": 1.0}",null,tversky_specificity_oriented_inverted_salehi2017,0.9558036561873858,0.2629779003203708,0.08284023668639054,test,mm10,80,0.075,0.20580401579075905,0.6801801801801801,0.1891891891891892,0.1891891891891892,0.01519869175291844,14,60,1,5
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,tversky,"{""alpha"": 0.7, ""beta"": 0.3, ""epsilon"": 1.0}",null,tversky_specificity_oriented_inverted_salehi2017,0.9558036561873858,0.2629779003203708,0.08284023668639054,val,hg19,1368,0.9890350877192983,0.9963017169833082,0.7479674796747967,0.0,0.0,0.0,0,15,0,1353
