run_id,split,score_decile,rows,positives,negatives,positive_rate,mean_score,min_score,max_score
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,test,1,170,165,5,0.9705882352941176,0.9719825593864216,0.9686842560768127,0.9824832677841187
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,test,2,170,168,2,0.9882352941176471,0.9663800141390633,0.9644310474395752,0.9686615467071533
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,test,3,170,169,1,0.9941176470588236,0.9627175085684833,0.9611740708351135,0.9644102454185486
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,test,4,170,168,2,0.9882352941176471,0.9593503748669344,0.9574680924415588,0.9611610174179077
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,test,5,171,146,25,0.8538011695906432,0.9557595761895877,0.954168438911438,0.9574598073959351
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,test,6,170,142,28,0.8352941176470589,0.9529202194774852,0.9516828060150146,0.9541589021682739
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,test,7,170,149,21,0.8764705882352941,0.9507001417524674,0.9496296644210815,0.9516811966896057
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,test,8,170,151,19,0.888235294117647,0.9485661804676055,0.9471814036369324,0.949622392654419
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,test,9,170,147,23,0.8647058823529412,0.9453384522129508,0.9428257346153259,0.9471781849861145
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,test,10,171,128,43,0.7485380116959064,0.931564023620204,0.8969861268997192,0.9427077770233154
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,val,1,173,173,0,1.0,0.9697095893021953,0.9665919542312622,0.9819336533546448
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,val,2,173,173,0,1.0,0.9648080771369052,0.9632841944694519,0.9665907621383667
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,val,3,174,171,3,0.9827586206896551,0.9618899942129507,0.9604647755622864,0.9632537364959717
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,val,4,173,168,5,0.9710982658959537,0.9586447666835234,0.9567326307296753,0.9604519009590149
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,val,5,174,164,10,0.9425287356321839,0.954691940683058,0.9529058933258057,0.9567273259162903
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,val,6,173,157,16,0.9075144508670521,0.9510945143727209,0.9490747451782227,0.9528849124908447
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,val,7,173,157,16,0.9075144508670521,0.9469944824373102,0.9452890157699585,0.9490492939949036
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,val,8,174,155,19,0.8908045977011494,0.9436294991394569,0.9413186311721802,0.9452874064445496
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,val,9,173,108,65,0.6242774566473989,0.9369008268924118,0.9319945573806763,0.9413175582885742
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,val,10,174,85,89,0.4885057471264368,0.923578764857917,0.8941559195518494,0.9318628311157227
sprint6_loss_comparison_seed42_20260606_182812_S6R7_balanced_sampling,test,1,170,170,0,1.0,0.8896214867339415,0.833087682723999,0.9815805554389954
sprint6_loss_comparison_seed42_20260606_182812_S6R7_balanced_sampling,test,2,170,170,0,1.0,0.7896353900432587,0.7464166879653931,0.8324434161186218
sprint6_loss_comparison_seed42_20260606_182812_S6R7_balanced_sampling,test,3,170,170,0,1.0,0.7135902513475979,0.682884693145752,0.7458157539367676
sprint6_loss_comparison_seed42_20260606_182812_S6R7_balanced_sampling,test,4,170,169,1,0.9941176470588236,0.6350762938751894,0.5887210965156555,0.682604968547821
sprint6_loss_comparison_seed42_20260606_182812_S6R7_balanced_sampling,test,5,171,158,13,0.9239766081871345,0.5619783380575347,0.5394030213356018,0.5877050757408142
sprint6_loss_comparison_seed42_20260606_182812_S6R7_balanced_sampling,test,6,170,150,20,0.8823529411764706,0.5102052930523368,0.470907986164093,0.5393175482749939
sprint6_loss_comparison_seed42_20260606_182812_S6R7_balanced_sampling,test,7,170,144,26,0.8470588235294118,0.42824644358719094,0.3912521004676819,0.4707099199295044
sprint6_loss_comparison_seed42_20260606_182812_S6R7_balanced_sampling,test,8,170,144,26,0.8470588235294118,0.36041938802775214,0.3325245976448059,0.3911112844944
sprint6_loss_comparison_seed42_20260606_182812_S6R7_balanced_sampling,test,9,170,150,20,0.8823529411764706,0.2989937927793054,0.260412335395813,0.33182331919670105
