registry_id,metric,guide,negatives_in_guide,point_estimate,leave_one_guide_value,delta
S7F_R2,auprc,278,0,0.9820615421641292,0.9818626956248895,-0.00019884653923973872
S7F_R2,auprc,635,0,0.9820615421641292,0.9820204922558499,-4.104990827935584e-05
S7F_R2,auprc,804,0,0.9820615421641292,0.9820026102241756,-5.8931939953654755e-05
S7F_R2,auprc,1018,0,0.9820615421641292,0.9819326438756996,-0.00012889828842965745
S7F_R2,auprc,1026,0,0.9820615421641292,0.9820358460596422,-2.569610448699411e-05
S7F_R2,auprc,1028,14,0.9820615421641292,0.9821083626606022,4.6820496472976814e-05
S7F_R2,auprc,1044,12,0.9820615421641292,0.9821118562113667,5.0314047237431936e-05
S7F_R2,auprc,1060,13,0.9820615421641292,0.9829608300607419,0.0008992878966126439
S7F_R2,auprc,1088,12,0.9820615421641292,0.982300831184372,0.0002392890202427278
S7F_R2,auprc,1120,14,0.9820615421641292,0.9821043994330123,4.2857268883089716e-05
S7F_R2,auprc,1408,9,0.9820615421641292,0.9820622482571469,7.060930177216207e-07
S7F_R2,auprc,1505,0,0.9820615421641292,0.9825144398269093,0.00045289766278011623
S7F_R2,auprc,3265,0,0.9820615421641292,0.9815357059595944,-0.0005258362045348353
S7F_R2,auprc,3300,0,0.9820615421641292,0.9802039242726008,-0.0018576178915283847
S7F_R2,auprc,3420,0,0.9820615421641292,0.9801759382291345,-0.0018856039349947062
S7F_R2,auprc,7696,0,0.9820615421641292,0.9803117930728391,-0.0017497490912901092
S7F_R2,auprc,8319,0,0.9820615421641292,0.9806969024732342,-0.0013646396908950642
S7F_R2,auprc,8420,0,0.9820615421641292,0.9765459403661967,-0.0055156017979325345
S7F_R2,auprc,9251,80,0.9820615421641292,0.9853631092453445,0.0033015670812153175
S7F_R2,auprc,10597,0,0.9820615421641292,0.9820445563512881,-1.6985812841152637e-05
S7F_R2,auprc,10599,0,0.9820615421641292,0.9816187161339098,-0.0004428260302193898
S7F_R2,auprc,10957,0,0.9820615421641292,0.9820100642256003,-5.147793852888771e-05
