model_name,feature_set,feature,family,weight,gain,cover,total_gain,total_cover
xgboost_balanced_train_weights,F3,target_pam_gc_fraction,sequence_summary,10.0,9.42643928527832,316.79669189453125,94.26439666748047,3167.967041015625
xgboost_balanced_train_weights,F3,target_protospacer_gc_fraction,sequence_summary,31.0,30.325035095214844,344.6904296875,940.0761108398438,10685.4033203125
xgboost_balanced_train_weights,F3,aligned_length,sequence_summary,0.0,0.0,0.0,0.0,0.0
xgboost_balanced_train_weights,F3,mismatch_count,sequence_summary,61.0,36.78507614135742,273.97650146484375,2243.8896484375,16712.56640625
xgboost_balanced_train_weights,F3,mismatch_rate,sequence_summary,12.0,33.046451568603516,270.0740051269531,396.5574035644531,3240.887939453125
xgboost_balanced_train_weights,F3,mismatch_pos_00,mismatch_position,7.0,11.768950462341309,311.00689697265625,82.38265228271484,2177.04833984375
xgboost_balanced_train_weights,F3,mismatch_pos_01,mismatch_position,4.0,6.249183177947998,88.21988677978516,24.996732711791992,352.8795471191406
xgboost_balanced_train_weights,F3,mismatch_pos_02,mismatch_position,14.0,12.09252643585205,27.79456901550293,169.2953643798828,389.12396240234375
xgboost_balanced_train_weights,F3,mismatch_pos_03,mismatch_position,4.0,7.5986833572387695,94.12948608398438,30.394733428955078,376.5179443359375
xgboost_balanced_train_weights,F3,mismatch_pos_04,mismatch_position,14.0,7.706309795379639,64.90653991699219,107.88833618164062,908.6915893554688
xgboost_balanced_train_weights,F3,mismatch_pos_05,mismatch_position,2.0,23.802326202392578,63.546409606933594,47.604652404785156,127.09281921386719
xgboost_balanced_train_weights,F3,mismatch_pos_06,mismatch_position,4.0,12.233872413635254,32.494998931884766,48.935489654541016,129.97999572753906
xgboost_balanced_train_weights,F3,mismatch_pos_07,mismatch_position,0.0,0.0,0.0,0.0,0.0
xgboost_balanced_train_weights,F3,mismatch_pos_08,mismatch_position,7.0,9.084572792053223,65.67040252685547,63.592010498046875,459.69281005859375
xgboost_balanced_train_weights,F3,mismatch_pos_09,mismatch_position,1.0,8.264174461364746,47.83759689331055,8.264174461364746,47.83759689331055
xgboost_balanced_train_weights,F3,mismatch_pos_10,mismatch_position,6.0,4.710644721984863,32.13430404663086,28.26386833190918,192.8058319091797
xgboost_balanced_train_weights,F3,mismatch_pos_11,mismatch_position,18.0,9.202925682067871,570.4990234375,165.6526641845703,10268.982421875
xgboost_balanced_train_weights,F3,mismatch_pos_12,mismatch_position,2.0,8.107851028442383,133.97930908203125,16.215702056884766,267.9586181640625
xgboost_balanced_train_weights,F3,mismatch_pos_13,mismatch_position,14.0,15.926901817321777,141.3355255126953,222.97662353515625,1978.6973876953125
xgboost_balanced_train_weights,F3,mismatch_pos_14,mismatch_position,5.0,12.404244422912598,219.2583770751953,62.02122116088867,1096.2918701171875
xgboost_balanced_train_weights,F3,mismatch_pos_15,mismatch_position,7.0,14.600289344787598,41.49858474731445,102.2020263671875,290.4900817871094
xgboost_balanced_train_weights,F3,mismatch_pos_16,mismatch_position,17.0,17.498010635375977,422.74932861328125,297.4661865234375,7186.73876953125
xgboost_balanced_train_weights,F3,mismatch_pos_17,mismatch_position,3.0,9.817817687988281,39.135128021240234,29.453453063964844,117.40538787841797
xgboost_balanced_train_weights,F3,mismatch_pos_18,mismatch_position,5.0,12.668874740600586,86.66575622558594,63.34437561035156,433.32879638671875
xgboost_balanced_train_weights,F3,mismatch_pos_19,mismatch_position,4.0,6.593092918395996,345.9598388671875,26.372371673583984,1383.83935546875
