feature_index,feature_column,source_feature_name,target_context_family,family_expected_count,family_observed_count
34,feature__target_pos_06_N,target_pos_06_N,target_sequence_one_hot,115,115
35,feature__target_pos_07_A,target_pos_07_A,target_sequence_one_hot,115,115
36,feature__target_pos_07_C,target_pos_07_C,target_sequence_one_hot,115,115
37,feature__target_pos_07_G,target_pos_07_G,target_sequence_one_hot,115,115
38,feature__target_pos_07_T,target_pos_07_T,target_sequence_one_hot,115,115
39,feature__target_pos_07_N,target_pos_07_N,target_sequence_one_hot,115,115
40,feature__target_pos_08_A,target_pos_08_A,target_sequence_one_hot,115,115
41,feature__target_pos_08_C,target_pos_08_C,target_sequence_one_hot,115,115
42,feature__target_pos_08_G,target_pos_08_G,target_sequence_one_hot,115,115
43,feature__target_pos_08_T,target_pos_08_T,target_sequence_one_hot,115,115
44,feature__target_pos_08_N,target_pos_08_N,target_sequence_one_hot,115,115
45,feature__target_pos_09_A,target_pos_09_A,target_sequence_one_hot,115,115
46,feature__target_pos_09_C,target_pos_09_C,target_sequence_one_hot,115,115
47,feature__target_pos_09_G,target_pos_09_G,target_sequence_one_hot,115,115
48,feature__target_pos_09_T,target_pos_09_T,target_sequence_one_hot,115,115
49,feature__target_pos_09_N,target_pos_09_N,target_sequence_one_hot,115,115
50,feature__target_pos_10_A,target_pos_10_A,target_sequence_one_hot,115,115
51,feature__target_pos_10_C,target_pos_10_C,target_sequence_one_hot,115,115
52,feature__target_pos_10_G,target_pos_10_G,target_sequence_one_hot,115,115
53,feature__target_pos_10_T,target_pos_10_T,target_sequence_one_hot,115,115
54,feature__target_pos_10_N,target_pos_10_N,target_sequence_one_hot,115,115
55,feature__target_pos_11_A,target_pos_11_A,target_sequence_one_hot,115,115
56,feature__target_pos_11_C,target_pos_11_C,target_sequence_one_hot,115,115
57,feature__target_pos_11_G,target_pos_11_G,target_sequence_one_hot,115,115
58,feature__target_pos_11_T,target_pos_11_T,target_sequence_one_hot,115,115
59,feature__target_pos_11_N,target_pos_11_N,target_sequence_one_hot,115,115
60,feature__target_pos_12_A,target_pos_12_A,target_sequence_one_hot,115,115
61,feature__target_pos_12_C,target_pos_12_C,target_sequence_one_hot,115,115
62,feature__target_pos_12_G,target_pos_12_G,target_sequence_one_hot,115,115
63,feature__target_pos_12_T,target_pos_12_T,target_sequence_one_hot,115,115
64,feature__target_pos_12_N,target_pos_12_N,target_sequence_one_hot,115,115
65,feature__target_pos_13_A,target_pos_13_A,target_sequence_one_hot,115,115
66,feature__target_pos_13_C,target_pos_13_C,target_sequence_one_hot,115,115
67,feature__target_pos_13_G,target_pos_13_G,target_sequence_one_hot,115,115
68,feature__target_pos_13_T,target_pos_13_T,target_sequence_one_hot,115,115
69,feature__target_pos_13_N,target_pos_13_N,target_sequence_one_hot,115,115
70,feature__target_pos_14_A,target_pos_14_A,target_sequence_one_hot,115,115
71,feature__target_pos_14_C,target_pos_14_C,target_sequence_one_hot,115,115
72,feature__target_pos_14_G,target_pos_14_G,target_sequence_one_hot,115,115
73,feature__target_pos_14_T,target_pos_14_T,target_sequence_one_hot,115,115
74,feature__target_pos_14_N,target_pos_14_N,target_sequence_one_hot,115,115
75,feature__target_pos_15_A,target_pos_15_A,target_sequence_one_hot,115,115
76,feature__target_pos_15_C,target_pos_15_C,target_sequence_one_hot,115,115
77,feature__target_pos_15_G,target_pos_15_G,target_sequence_one_hot,115,115
78,feature__target_pos_15_T,target_pos_15_T,target_sequence_one_hot,115,115
79,feature__target_pos_15_N,target_pos_15_N,target_sequence_one_hot,115,115
80,feature__target_pos_16_A,target_pos_16_A,target_sequence_one_hot,115,115
81,feature__target_pos_16_C,target_pos_16_C,target_sequence_one_hot,115,115
82,feature__target_pos_16_G,target_pos_16_G,target_sequence_one_hot,115,115
83,feature__target_pos_16_T,target_pos_16_T,target_sequence_one_hot,115,115
84,feature__target_pos_16_N,target_pos_16_N,target_sequence_one_hot,115,115
85,feature__target_pos_17_A,target_pos_17_A,target_sequence_one_hot,115,115
86,feature__target_pos_17_C,target_pos_17_C,target_sequence_one_hot,115,115
87,feature__target_pos_17_G,target_pos_17_G,target_sequence_one_hot,115,115
88,feature__target_pos_17_T,target_pos_17_T,target_sequence_one_hot,115,115
